filename,g_point_ms,offset_ms,final_start_ms
Viola.pizz.ff.sulC.C3.stereo.wav,174,25,199
Viola.pizz.ff.sulC.Db3.stereo.wav,150,25,175
Viola.pizz.ff.sulC.D3.stereo.wav,162,25,187
Viola.pizz.ff.sulC.Eb3.stereo.wav,150,25,175
Viola.pizz.ff.sulC.E3.stereo.wav,174,25,199
Viola.pizz.ff.sulC.F3.stereo.wav,220,25,245
Viola.pizz.ff.sulC.Gb3.stereo.wav,150,25,175
Viola.pizz.ff.sulG.G3.stereo.wav,116,25,141
Viola.pizz.ff.sulC.G3.stereo.wav,139,25,164
Viola.pizz.ff.sulG.Ab3.stereo.wav,139,25,164
Viola.pizz.ff.sulC.Ab3.stereo.wav,174,25,199
Viola.pizz.ff.sulC.A3.stereo.wav,174,25,199
Viola.pizz.ff.sulG.A3.stereo.wav,116,25,141
Viola.pizz.ff.sulG.Bb3.stereo.wav,139,25,164
Viola.pizz.ff.sulC.Bb3.stereo.wav,197,25,222
Viola.pizz.ff.sulG.B3.stereo.wav,92,25,117
Viola.pizz.ff.sulC.B3.stereo.wav,150,25,175
Viola.pizz.ff.sulC.C4.stereo.wav,139,25,164
Viola.pizz.ff.sulG.C4.stereo.wav,92,25,117
Viola.pizz.ff.sulG.Db4.stereo.wav,139,25,164
Viola.pizz.ff.sulC.Db4.stereo.wav,127,25,152
Viola.pizz.ff.sulD.D4.stereo.wav,127,25,152
Viola.pizz.ff.sulC.D4.stereo.wav,162,25,187
Viola.pizz.ff.sulG.D4.stereo.wav,81,25,106
Viola.pizz.ff.sulG.Eb4.stereo.wav,81,25,106
Viola.pizz.ff.sulC.Eb4.stereo.wav,139,25,164
Viola.pizz.ff.sulD.Eb4.stereo.wav,139,25,164
Viola.pizz.ff.sulD.E4.stereo.wav,150,25,175
Viola.pizz.ff.sulG.E4.stereo.wav,92,25,117
Viola.pizz.ff.sulC.E4.stereo.wav,174,25,199
Viola.pizz.ff.sulC.F4.stereo.wav,127,25,152
Viola.pizz.ff.sulD.F4.stereo.wav,139,25,164
Viola.pizz.ff.sulG.F4.stereo.wav,92,25,117
Viola.pizz.ff.sulG.Gb4.stereo.wav,162,25,187
Viola.pizz.ff.sulD.Gb4.stereo.wav,127,25,152
Viola.pizz.ff.sulC.Gb4.stereo.wav,139,25,164
Viola.pizz.ff.sulG.G4.stereo.wav,92,25,117
Viola.pizz.ff.sulD.G4.stereo.wav,220,25,245
Viola.pizz.ff.sulC.G4.stereo.wav,150,25,175
Viola.pizz.ff.sulD.Ab4.stereo.wav,116,25,141
Viola.pizz.ff.sulC.Ab4.stereo.wav,116,25,141
Viola.pizz.ff.sulG.Ab4.stereo.wav,69,25,94
Viola.pizz.ff.sulG.A4.stereo.wav,81,25,106
Viola.pizz.ff.sulD.A4.stereo.wav,150,25,175
Viola.pizz.ff.sulC.A4.stereo.wav,104,25,129
Viola.pizz.ff.sulA.A4.stereo.wav,174,25,199
Viola.pizz.ff.sulD.Bb4.stereo.wav,278,25,303
Viola.pizz.ff.sulC.Bb4.stereo.wav,150,25,175
Viola.pizz.ff.sulA.Bb4.stereo.wav,197,25,222
Viola.pizz.ff.sulG.Bb4.stereo.wav,92,25,117
Viola.pizz.ff.sulC.B4.stereo.wav,104,25,129
Viola.pizz.ff.sulD.B4.stereo.wav,255,25,280
Viola.pizz.ff.sulA.B4.stereo.wav,290,25,315
Viola.pizz.ff.sulG.B4.stereo.wav,81,25,106
Viola.pizz.ff.sulC.C5.stereo.wav,127,25,152
Viola.pizz.ff.sulA.C5.stereo.wav,232,25,257
Viola.pizz.ff.sulD.C5.stereo.wav,267,25,292
Viola.pizz.ff.sulG.C5.stereo.wav,92,25,117
Viola.pizz.ff.sulA.Db5.stereo.wav,208,25,233
Viola.pizz.ff.sulD.Db5.stereo.wav,325,25,350
Viola.pizz.ff.sulG.Db5.stereo.wav,92,25,117
Viola.pizz.ff.sulG.D5.stereo.wav,127,25,152
Viola.pizz.ff.sulD.D5.stereo.wav,220,25,245
Viola.pizz.ff.sulA.D5.stereo.wav,232,25,257
Viola.pizz.ff.sulD.Eb5.stereo.wav,499,25,524
Viola.pizz.ff.sulG.Eb5.stereo.wav,243,25,268
Viola.pizz.ff.sulA.Eb5.stereo.wav,208,25,233
Viola.pizz.ff.sulG.E5.stereo.wav,127,25,152
Viola.pizz.ff.sulD.E5.stereo.wav,441,25,466
Viola.pizz.ff.sulA.E5.stereo.wav,255,25,280
Viola.pizz.ff.sulG.F5.stereo.wav,139,25,164
Viola.pizz.ff.sulD.F5.stereo.wav,406,25,431
Viola.pizz.ff.sulA.F5.stereo.wav,243,25,268
Viola.pizz.ff.sulA.Gb5.stereo.wav,208,25,233
Viola.pizz.ff.sulG.Gb5.stereo.wav,104,25,129
Viola.pizz.ff.sulD.Gb5.stereo.wav,313,25,338
Viola.pizz.ff.sulG.G5.stereo.wav,301,25,326
Viola.pizz.ff.sulA.G5.stereo.wav,255,25,280
Viola.pizz.ff.sulD.G5.stereo.wav,290,25,315
Viola.pizz.ff.sulD.Ab5.stereo.wav,267,25,292
Viola.pizz.ff.sulA.Ab5.stereo.wav,301,25,326
Viola.pizz.ff.sulA.A5.stereo.wav,174,25,199
Viola.pizz.ff.sulD.A5.stereo.wav,476,25,501
Viola.pizz.ff.sulA.Bb5.stereo.wav,278,25,303
Viola.pizz.ff.sulD.Bb5.stereo.wav,336,25,361
